Time (CST),ST_10 cm_C,ST_50 cm_C,ST_100 cm_C,AvgAirTemp_C,AvgRelHum_%,AvgWindSpeed_m/s,AvgWindDir_Deg,TotalSolRad_MJ/m2,Rainfall_mm,Snow Depth_mm,SoilMoisture
11/1/2014,4.139666667,9.030833333,10.85833333,3.322304348,46.77130435,7.569173913,147.5,0.403391304,0,0,0.1801
11/2/2014,5.79425,8.6775,10.66916667,7.683,46.81,5.593083333,144.2875,0.324166667,0,0,0.1801
11/3/2014,6.784708333,8.56125,10.46,7.160666667,62.48208333,3.767291667,254.9291667,0.189333333,0,0,0.1801
11/4/2014,5.696708333,8.557083333,10.29125,3.397791667,67.11041667,3.987916667,259.6375,0.100458333,0,0,0.1801
11/5/2014,4.38775,8.43,10.17458333,1.314791667,89.57708333,2.837833333,132.5170833,0.057125,0,0,0.1802
11/6/2014,4.187666667,8.194166667,10.09125,1.657625,85.9775,2.47575,244.1916667,0.288833333,0,11,0.1836
11/7/2014,4.830125,7.945125,9.905416667,4.659583333,79.69083333,6.88875,213.0833333,0.075208333,0,5,0.1899
11/8/2014,4.449208333,7.833708333,9.819166667,2.503458333,67.69833333,4.562416667,278.9625,0.241333333,0,0,0.1831
11/9/2014,3.408958333,7.665166667,9.687083333,-2.758375,69.00375,3.138333333,254.0591667,0.240875,0,0,0.2027
11/10/2014,1.665916667,7.368791667,9.552916667,-5.852041667,68.67833333,5.688958333,144.8428333,0.116625,0,0,0.2047
11/11/2014,0.198291667,6.912166667,9.420416667,-7.145291667,74.115,5.353125,321.4,0.152458333,0,53,0.2047
11/12/2014,-0.5075,6.393875,9.259583333,-6.669791667,83.13541667,5.122833333,312.5958333,0.175125,0,2,0.2047
11/13/2014,-0.467375,5.929291667,9.105833333,-9.402375,74.85041667,4.372666667,300.5291667,0.310125,0,10,0.193
11/14/2014,-1.404416667,5.527625,8.90875,-11.49070833,73.30541667,2.209833333,213.4833333,0.345416667,0,19,0.2047
11/15/2014,-1.87675,5.108708333,8.649166667,-10.938625,75.12333333,2.446,240.1041667,0.2145,0,17,0.2047
11/16/2014,-2.819125,4.682583333,8.394166667,-11.08120833,70.165,5.420041667,256.9083333,0.163,0,16,0.2047
11/17/2014,-3.463583333,4.238333333,8.165,-11.23125,67.515,6.10475,309.7958333,0.194333333,0,22,0.2047
11/18/2014,-3.269291667,3.7855,7.908041667,-8.337333333,69.835,4.511708333,238.125,0.205541667,0,17,0.2047
11/19/2014,-2.841666667,3.432208333,7.640208333,-6.273,65.08625,6.187958333,293.1333333,0.200541667,0,5,0.2047
11/20/2014,-4.361041667,3.14625,7.447791667,-11.52504167,66.71875,2.036916667,259.5,0.315625,0,0,0.2047
11/21/2014,-3.749916667,2.797791667,7.15475,-5.4865,74.57208333,5.574625,160.8916667,0.243083333,0,0,0.2047
11/22/2014,-2.002791667,2.569916667,6.891208333,0.447625,80.15041667,3.710875,153,0.225375,0,0,0.2047
11/23/2014,-0.728791667,2.509291667,6.589375,0.089083333,84.27875,4.330458333,229.6125,0.068333333,0,0,0.2047
11/24/2014,-1.670916667,2.5865,6.438333333,-10.74104167,76.995,6.271375,318.5333333,0.206,0,12,0.2047
11/25/2014,-2.142166667,2.607,6.25075,-6.686333333,73.26625,2.646875,134.8170833,0.133916667,0,20,0.2047
11/26/2014,-2.742666667,2.481291667,6.141625,-15.424625,75.68708333,5.266041667,328.4147917,0.230958333,0,34,0.2047
11/27/2014,-4.896583333,2.288125,6.063583333,-18.82458333,71.45625,2.613708333,189.6916667,0.261166667,0,60,0.2047
11/28/2014,-3.715125,1.968375,5.849041667,-9.824708333,75.56666667,3.658208333,121.9583333,0.135333333,0,90,0.2047
11/29/2014,-2.808958333,1.762041667,5.684041667,-6.657416667,80.61041667,5.102875,248.1416667,0.13575,0,50,0.2047
11/30/2014,-3.89875,1.628458333,5.58225,-15.67625,62.0325,5.52575,284.6208333,0.287958333,0,46,0.2047
12/1/2014,-5.679375,1.463208333,5.439541667,-19.18041667,58.43875,4.913791667,199.0333333,0.298,0,41,0.2047
12/2/2014,-4.929333333,1.316791667,5.271375,-10.55470833,69.61291667,3.9355,215.25,0.220958333,0,37,0.2047
12/3/2014,-4.648208333,1.156708333,5.136083333,-10.52083333,70.075,2.924416667,227.7916667,0.267625,0,34,0.2047
12/4/2014,-3.831416667,1.054208333,4.959083333,-4.688,69.08041667,4.605666667,148.9291667,0.257875,0,32,0.2047
12/5/2014,-3.314416667,0.927208333,4.808541667,-7.032583333,79.81,2.106541667,289.0291667,0.255208333,0,27,0.2048
12/6/2014,-3.979833333,0.807458333,4.611916667,-8.555583333,78.36333333,3.274625,199.6833333,0.08725,0,26,0.2048
12/7/2014,-2.21975,0.818875,4.475041667,0.41225,81.12041667,6.449166667,166.525,0.100708333,0,24,0.2048
12/8/2014,-2.001833333,0.736333333,4.338333333,-5.461916667,78.57833333,5.566791667,323.3708333,0.059458333,0,22,0.2048
12/9/2014,-3.417,0.706416667,4.243583333,-9.376833333,86.38333333,3.639125,183.2325,0.106916667,0,10,0.2048
12/10/2014,-2.498125,0.74225,4.142875,-2.600291667,86.645,5.841083333,151.6416667,0.094041667,0,15,0.2048
12/11/2014,-1.634291667,0.725,4.037875,-0.674125,92.60833333,4.871583333,158.4625,0.04825,0,15,0.2048
12/12/2014,-0.961875,0.745708333,3.957333333,0.585083333,93.77916667,5.721125,155.7958333,0.071708333,0,15,0.2048
12/13/2014,-0.554625,0.7785,3.879083333,2.937125,97.17083333,3.861916667,150.3041667,0.113958333,0,18,0.2048
12/14/2014,-0.052458333,0.837541667,3.802125,5.001583333,97.47083333,2.99,183.8520833,0.024708333,0,0,0.2084
12/15/2014,-0.247083333,0.915083333,3.754875,-4.620583333,89.72083333,8.120625,335.3,0.057791667,0,0,0.2219
12/16/2014,-2.533458333,1.148791667,3.751583333,-12.05375,80.87791667,5.131375,328.8416667,0.135541667,0,0,0.2231
12/17/2014,-4.6645,1.176625,3.823125,-12.86470833,82.63875,1.662791667,258.3711667,0.222,0,0,0.2231
12/18/2014,-5.047875,0.934916667,3.73725,-9.605708333,83.96625,3.306458333,139.4633333,0.0665,0,0,0.2175
12/19/2014,-3.105166667,0.814625,3.671041667,-3.020791667,91.19583333,4.253125,150.8291667,0.045583333,0,0,0.2231
12/20/2014,-1.820083333,0.722125,3.59575,-0.888916667,91.03333333,4.332375,169.2375,0.040458333,0,0,0.2231
12/21/2014,-1.242083333,0.676875,3.514583333,0.218333333,91.38333333,4.895041667,147.6541667,0.046541667,0,0,0.2231
12/22/2014,-0.659125,0.693458333,3.434125,2.986625,94.70833333,3.254708333,106.1129167,0.03475,0,0,0.2231
12/23/2014,-0.383375,0.686333333,3.380375,0.274541667,95.91666667,4.560291667,253.7220417,0.03475,0,0,0.2243
12/24/2014,-0.269583333,0.725666667,3.330458333,-2.096083333,91.8,3.683458333,237.5208333,0.06875,0,18,0.2359
12/25/2014,-0.263,0.942666667,3.303041667,-2.29625,86.9625,3.477541667,279.40875,0.063375,0,21,0.2359
12/26/2014,-0.910833333,1.141041667,3.28875,-6.018583333,81.50333333,4.337458333,338.4125,0.066791667,0,22,0.2359
12/27/2014,-3.500041667,1.1635,3.335875,-10.42466667,80.46916667,2.374333333,234.1208333,0.139333333,0,2,0.2359
12/28/2014,-5.074791667,0.982708333,3.415166667,-15.47654167,73.42541667,4.974875,206.3690833,0.258916667,0,5,0.2258
12/29/2014,-8.60025,0.724708333,3.397125,-20.68333333,70.0825,3.363458333,325.1416667,0.271083333,0,5,0.2359
12/30/2014,-9.774583333,0.486333333,3.325,-20.44666667,67.75041667,3.405375,272.4916667,0.232375,0,3,0.2359
12/31/2014,-8.455541667,0.29825,3.242708333,-12.24183333,68.05833333,5.1455,227.8,0.197125,0,2,0.2359
1/1/2015,-5.392625,0.092125,3.083583333,-7.479625,68.47583333,4.383791667,196.2357083,0.1195,0,0,0.2359
1/2/2015,-4.942541667,-0.038541667,2.984666667,-4.914958333,69.87708333,3.528375,179.6391667,0.109041667,0,0,0.2359
1/3/2015,-4.786291667,-0.193166667,2.895875,-15.19295833,74.16041667,7.824708333,291.3125,0.155333333,0,0,0.2359
1/4/2015,-7.981166667,-0.315875,2.863208333,-23.6975,62.815,4.09775,300.1666667,0.248791667,0,5,0.2359
1/5/2015,-8.990833333,-0.430416667,2.723875,-21.27583333,65.22166667,3.1525,210.3666667,0.109,0,3,0.2359
1/6/2015,-8.869833333,-0.521458333,2.647416667,-18.56041667,66.59166667,5.122916667,285.7708333,0.1605,0,18,0.2359
1/7/2015,-9.468333333,-0.677791667,2.614916667,-20.00083333,63.11041667,4.313583333,256.4958333,0.286916667,0,14,0.236
1/8/2015,-8.073833333,-0.899083333,2.443791667,-14.9975,73.22833333,6.662958333,259.2666667,0.147541667,0,11,0.236
1/9/2015,-8.571208333,-1.052,2.426125,-17.91791667,64.64208333,4.644833333,270.9333333,0.281541667,0,16,0.236
1/10/2015,-9.059958333,-1.2205,2.34675,-18.2525,64.3425,2.927458333,249.7875,0.289291667,0,12,0.236
1/11/2015,-8.306541667,-1.416791667,2.205666667,-16.9775,69.0675,2.30575,181.154625,0.174625,0,10,0.236
1/12/2015,-9.259166667,-1.552583333,2.193625,-22.35916667,66.70375,2.127375,278.9504167,0.308083333,0,14,0.236
1/13/2015,-9.495416667,-1.746958333,2.036041667,-17.65958333,72.41375,4.416208333,163.7041667,0.16175,0,13,0.236
1/14/2015,-7.484333333,-1.872791667,1.901,-9.464958333,84.27208333,2.965833333,186.5958333,0.141458333,0,11,0.2368
1/15/2015,-5.115708333,-1.764208333,1.847916667,-3.105083333,83.23333333,3.003291667,208.225,0.232708333,0,13,0.237
1/16/2015,-4.125166667,-1.66275,1.715083333,-4.9755,82.23333333,4.190166667,94.36416667,0.100666667,0,13,0.2379
1/17/2015,-2.807875,-1.449083333,1.655291667,0.595916667,84.93416667,5.188583333,254.1208333,0.166416667,0,18,0.2412
1/18/2015,-2.941875,-1.310666667,1.643083333,-3.026583333,83.62916667,2.373416667,201.1570833,0.278708333,0,44,0.2598
1/19/2015,-2.318208333,-1.185125,1.562666667,-0.370875,85.1925,3.014666667,181.7716667,0.217625,0,43,0.2599
1/20/2015,-1.384541667,-1.128083333,1.440875,-1.066583333,91.75416667,2.224458333,92.034125,0.035833333,0,43,0.2629
1/21/2015,-2.202125,-1.081666667,1.404625,-7.246125,83.03875,3.743708333,251.26975,0.138,0,98,0.2629
1/22/2015,-3.586,-0.976708333,1.41975,-5.526333333,81.25541667,4.793458333,175.1625,0.276291667,0,98,0.2629
